D	- - 0 2 3 2
Dmaj7	- - 0 2 2 2
Dmaj9	10 9 11 9 10 9
Dmaj11	- 5 4 6 3 3
Dmaj13	10 9 9 9 10 9
Dmaj9#11	10 9 11 9 9 9
Dmaj13#11	10 9 9 9 9 9
D6	2 2 4 2 3 2
Dadd9	10 9 7 9 7 -
D6add9	10 9 9 9 10 10
Dmaj7b5	10 - 11 11 9 -
Dmaj7#5	10 - 11 11 11 -
Dm	- - 0 2 3 1
Dm7	- - 0 2 1 1
Dm9	10 - 10 10 10 12
Dm11	10 - 10 10 8 -
Dm13	10 12 10 10 12 12
Dm6	10 - 9 10 10 -
Dmadd9	- 5 3 2 5 -
Dm6add9	- 5 3 4 5 -
Dmmaj7	10 12 11 10 10 10
Dmmaj9	10 12 11 10 10 12
Dm7b5	10 - 10 10 9 0
Dm7#5	10 - 10 10 11 -
D7	- - 0 2 1 2
D9	10 9 10 9 10 -
D11	10 - 10 9 8 -
D13	10 - 10 11 12 -
D7sus4	10 12 10 12 10 10
D7b5	10 - 10 11 9 -
D7#5	10 - 10 11 11 -
D7b9	10 12 10 11 10 11
D7#9	10 12 10 11 13 13
D7(b5,b9)	10 - 10 8 9 -
D7(b5,#9)	- 5 4 5 6 4
D7(#5,b9)	10 - 10 11 11 11
D7(#5,#9)	- 5 4 5 6 6
D9b5	10 9 10 9 9 -
D9#5	10 - 10 11 11 12
D13#11	10 11 10 11 12 12
D13b9	10 - 10 11 12 11
D11b9	10 - 10 8 8 -
Daug	- - 0 3 3 2
Ddim	10 11 12 10 - -
Ddim7	10 - 9 10 9 -
D5	10 12 - - - -
Dsus4	10 12 12 12 10 10
Dsus2	- 5 7 7 5 5
Dsus2sus4	10 10 12 12 10 12
D-5	- 5 6 7 7 -
