A	- 0 2 2 2 0
Amaj7	- 0 2 1 2 0
Amaj9	5 4 6 4 5 4
Amaj11	- 12 11 13 10 10
Amaj13	5 4 4 4 5 4
Amaj9#11	5 4 6 4 4 4
Amaj13#11	5 4 4 4 4 4
A6	9 9 11 9 10 9
Aadd9	5 4 2 4 2 -
A6add9	5 4 4 4 5 5
Amaj7b5	5 - 6 6 4 -
Amaj7#5	5 - 6 6 6 -
Am	- 0 2 2 1 0
Am7	- 0 2 0 1 0
Am9	5 - 5 5 5 7
Am11	5 - 5 5 3 -
Am13	5 7 5 5 7 7
Am6	5 - 4 5 5 -
Amadd9	- 12 10 9 12 -
Am6add9	- 12 10 11 12 -
Ammaj7	5 7 6 5 5 5
Ammaj9	5 7 6 5 5 7
Am7b5	5 - 5 5 4 -
Am7#5	5 - 5 5 6 -
A7	- 0 2 0 2 0
A9	5 4 5 4 5 -
A11	5 - 5 4 3 -
A13	5 - 5 6 7 -
A7sus4	5 7 5 7 5 5
A7b5	5 - 5 6 4 -
A7#5	5 - 5 6 6 -
A7b9	5 7 5 6 5 6
A7#9	5 7 5 6 8 8
A7(b5,b9)	5 - 5 3 4 -
A7(b5,#9)	- 12 11 12 13 11
A7(#5,b9)	5 - 5 6 6 6
A7(#5,#9)	- 12 11 12 13 13
A9b5	5 4 5 4 4 -
A9#5	5 - 5 6 6 7
A13#11	5 6 5 6 7 7
A13b9	5 - 5 6 7 6
A11b9	5 - 5 3 3 -
Aaug	- 0 3 2 2 1
Adim	5 6 7 5 - -
Adim7	5 - 4 5 4 -
A5	5 7 - - - -
Asus4	5 7 7 7 5 5
Asus2	- 0 2 2 0 0
Asus2sus4	5 5 7 7 5 7
A-5	- 0 1 2 2 -
