A#	6 8 8 7 6 6
A#maj7	6 - 7 7 6 -
A#maj9	6 5 7 5 6 5
A#maj11	- 13 12 14 11 11
A#maj13	6 5 5 5 6 5
A#maj9#11	6 5 7 5 5 5
A#maj13#11	6 5 5 5 5 5
A#6	10 10 12 10 11 10
A#add9	6 5 3 5 3 -
A#6add9	6 5 5 5 6 6
A#maj7b5	6 - 7 7 5 -
A#maj7#5	6 - 7 7 7 -
A#m	6 8 8 6 6 6
A#m7	6 8 6 6 6 6
A#m9	6 - 6 6 6 8
A#m11	6 - 6 6 4 -
A#m13	6 8 6 6 8 8
A#m6	6 - 5 6 6 -
A#madd9	- 13 11 10 13 -
A#m6add9	- 13 11 12 13 -
A#mmaj7	6 8 7 6 6 6
A#mmaj9	6 8 7 6 6 8
A#m7b5	6 - 6 6 5 -
A#m7#5	6 - 6 6 7 -
A#7	6 8 6 7 6 6
A#9	6 5 6 5 6 -
A#11	6 - 6 5 4 -
A#13	6 - 6 7 8 -
A#7sus4	6 8 6 8 6 6
A#7b5	6 - 6 7 5 -
A#7#5	6 - 6 7 7 -
A#7b9	6 8 6 7 6 7
A#7#9	6 8 6 7 9 9
A#7(b5,b9)	6 - 6 4 5 -
A#7(b5,#9)	- 1 0 1 2 0
A#7(#5,b9)	6 - 6 7 7 7
A#7(#5,#9)	- 1 0 1 2 2
A#9b5	6 5 6 5 5 -
A#9#5	6 - 6 7 7 8
A#13#116	6 7 6 7 8 8
A#13b9	6 - 6 7 8 7
A#11b9	6 - 6 4 4 -
A#aug	6 5 4 3 3 -
A#dim	6 7 8 6 - -
A#dim7	6 - 5 6 5 -
A#5	6 8 - - - -
A#sus4	6 8 8 8 6 6
A#sus2	- 1 3 3 1 1
A#sus2sus4	6 6 8 8 6 8
A#-5	- 1 2 3 3 -
