B	7 9 9 8 7 7
Bmaj7	7 - 8 8 7 -
Bmaj9	7 6 8 6 7 6
Bmaj11	- 14 13 15 12 12
Bmaj13	7 6 6 6 7 6
Bmaj9#11	7 6 8 6 6 6
Bmaj13#11	7 6 6 6 6 6
B6	11 11 13 11 12 11
Badd9	7 6 4 6 4 -
B6add9	7 6 6 6 7 7
Bmaj7b5	7 - 8 8 6 -
Bmaj7#5	7 - 8 8 8 -
Bm	7 9 9 7 7 7
Bm7	7 9 7 7 7 7
Bm9	7 - 7 7 7 9
Bm11	7 - 7 7 5 -
Bm13	7 9 7 7 9 9
Bm6	7 - 6 7 7 -
Bmadd9	- 14 12 11 14 -
Bm6add9	- 2 0 1 2 -
Bmmaj7	7 9 8 7 7 7
Bmmaj9	7 9 8 7 7 9
Bm7b5	7 - 7 7 6 -
Bm7#5	7 - 7 7 8 -
B7	- 2 1 2 0 2
B9	7 6 7 6 7 -
B11	7 - 7 6 5 -
B13	7 - 7 8 9 -
B7sus4	7 9 7 9 7 7
B7b5	7 - 7 8 6 -
B7#5	7 - 7 8 8 -
B7b9	7 9 7 8 7 8
B7#9	7 9 7 8 10 10
B7(b5,b9)	7 - 7 5 6 -
B7(b5,#9)	- 2 1 2 3 1
B7(#5,b9)	7 - 7 8 8 8
B7(#5,#9)	- 2 1 2 3 3
B9b5	7 6 7 6 6 -
B9#5	7 - 7 8 8 9
B13#11	7 8 7 8 9 9
B13b9	7 - 7 8 9 8
B11b9	7 - 7 5 5 -
Baug	7 6 5 0 0 -
Bdim	7 8 9 7 - -
Bdim7	7 - 6 7 6 -
B5	7 9 - - - -
Bsus4	7 9 9 9 7 7
Bsus2	- 2 4 4 2 2
Bsus2sus4	7 7 9 9 7 9
B-5	- 2 3 4 4 -
