D#	11 13 13 12 11 11
D#maj7	11 - 12 12 11 -
D#maj9	11 10 12 10 11 10
D#maj11	- 6 5 7 4 4
D#maj13	11 10 10 10 11 10
D#maj9#11	11 10 12 10 10 10
D#maj13#11	11 10 10 10 10 10
D#6	3 3 5 3 4 3
D#add9	11 10 8 10 8 -
D#6add9	11 10 10 10 11 11
D#maj7b5	11 - 12 12 10 -
D#maj7#5	11 - 12 12 12 -
D#m	11 13 13 11 11 11
D#m7	11 13 11 11 11 11
D#m9	11 - 11 11 11 13
D#m11	11 - 11 11 9 -
D#m13	11 13 11 11 13 13
D#m6	11 - 10 11 11 -
D#madd9	- 6 4 3 6 -
D#m6add9	- 6 4 5 6 -
D#mmaj7	11 13 12 11 11 11
D#mmaj9	11 13 12 11 11 13	
D#m7b5	11 - 11 11 10 -
D#m7#5	11 - 11 11 12 -
D#7	11 13 11 12 11 11
D#9	11 10 11 10 11 -
D#11	11 - 11 10 9 -
D#13	11 - 11 12 13 -
D#7sus4	11 13 11 13 11 11
D#7b5	11 - 11 12 10 -
D#7#5	11 - 11 12 12 -
D#7b9	11 13 11 12 11 12
D#7#9	11 13 11 12 14 14
D#7(b5,b9)	11 - 11 9 10 -
D#7(b5,#9)	- 6 5 6 7 5
D#7(#5,b9)	11 - 11 12 12 12
D#7(#5,#9)	- 6 5 6 7 7
D#9b5	11 10 11 10 10 -
D#9#5	11 - 11 12 12 13
D#13#11	11 12 11 12 13 13
D#13b9	11 - 11 12 13 12
D#11b9	11 - 11 9 9 -
D#aug	11 10 9 8 8 -
D#dim	11 12 13 11 - -
D#dim7	11 - 10 11 10 -
D#5	11 13 - - - -
D#sus4	11 13 13 13 11 11
D#sus2	- 6 8 8 6 6
D#sus2sus4	11 11 13 13 11 13
D#-5	- 6 7 8 8 -
