E	0 2 2 1 0 0
Emaj7	0 - 1 1 0 -
Emaj9	12 11 13 11 12 11
Emaj11	- 7 6 8 5 5
Emaj13	12 11 11 11 12 11
Emaj9#11	12 11 13 11 11 11
Emaj13#11	12 11 11 11 11 11
E6	4 4 6 4 5 4
Eadd9	12 11 9 11 9 -
E6add9	12 11 11 11 12 12
Emaj7b5	12 - 13 13 11 -
Emaj7#5	0 - 1 1 1 -
Em	0 2 2 0 0 0
Em7	0 2 0 0 0 0
Em9	0 - 0 0 0 2
Em11	12 - 12 12 10 -
Em13	0 2 0 0 2 2
Em6	12 - 11 12 12 -
Emadd9	- 7 5 4 7 -
Em6add9	- 7 5 6 7 -
Emmaj7	0 2 1 0 0 0
Emmaj9	0 2 1 0 0 2
Em7b5	12 - 12 12 11 -
Em7#5	0 - 0 0 1 -
E7	0 2 0 1 0 0
E9	12 11 12 11 12 -
E11	12 - 12 11 10 -
E13	0 - 0 1 2 -
E7sus4	0 2 0 2 0 0
E7b5	12 - 12 13 11 -
E7#5	0 - 0 1 1 -
E7b9	0 2 0 1 0 1
E7#9	0 2 0 1 3 3
E7(b5,b9)	12 - 12 10 11 -
E7(b5,#9)	- 7 6 7 8 6
E7(#5,b9)	0 - 0 1 1 1
E7(#5,#9)	- 7 6 7 8 8
E9b5	12 11 12 11 11 -
E9#5	0 - 0 1 1 2
E13#11	0 1 0 1 2 2
E13b9	0 - 0 1 2 1
E11b9	12 - 12 10 10 -
Eaug	0 3 2 1 1 0
Edim	0 1 2 0 - -
Edim7	12 - 11 12 11 -
E5	0 2 - - - -
Esus4	0 2 2 2 0 0
Esus2	- 7 9 9 7 7
Esus2sus4	0 0 2 2 0 2
E-5	- 7 8 9 9 0
