F#	2 4 4 3 2 2
F#maj7	2 - 3 3 2 -
F#maj9	2 1 3 1 2 1
F#maj11	- 9 8 10 7 7
F#maj13	2 1 1 1 2 1
F#maj9#11	2 1 3 1 1 1
F#maj13#11	2 1 1 1 1 1
F#6	6 6 8 6 7 6
F#add9	14 13 11 13 11 -
F#6add9	2 1 1 1 2 2
F#maj7b5	2 - 3 3 1 -
F#maj7#5	2 - 3 3 3 -
F#m	2 4 4 2 2 2
F#m7	2 4 2 2 2 2
F#m9	2 - 2 2 2 4
F#m11	2 - 2 2 0 -
F#m13	2 4 2 2 4 4
F#m6	2 - 1 2 2 -
F#madd9	- 9 7 6 9 -
F#m6add9	- 9 7 8 9 -
F#mmaj7	2 4 3 2 2 2
F#mmaj9	2 4 3 2 2 4
F#m7b5	2 - 2 2 1 -
F#m7#5	2 - 2 2 3 -
F#7	2 4 2 3 2 2
F#9	2 1 2 1 2 -
F#11	2 - 2 1 0 -
F#13	2 - 2 3 4 -
F#7sus4	2 4 2 4 2 2
F#7b5	2 - 2 3 1 -
F#7#5	2 0 2 3 3 -
F#7b9	2 4 2 3 2 3
F#7#9	2 4 2 3 5 5
F#7(b5,b9)	2 - 2 0 1 -
F#7(b5,#9)	- 9 8 9 10 8
F#7(#5,b9)	2 - 2 3 3 3
F#7(#5,#9)	- 9 8 9 10 10
F#9b5	2 1 2 1 1 -
F#9#5	2 - 2 3 3 4
F#13#11	2 3 2 3 4 4
F#13b9	2 - 2 3 4 3
F#11b9	2 - 2 0 0 -
F#aug	14 13 12 11 11 -
F#dim	2 3 4 2 - -
F#dim7	2 - 1 2 1 -
F#5	2 4 - - - -
F#sus4	2 4 4 4 2 2
F#sus2	- 9 11 11 9 9
F#sus2sus4	2 2 4 4 2 4
F#-5	- 9 10 11 11 -
