C/E	0 3 2 0 1 0
C/F	1 3 2 0 1 0
C/G	3 3 2 0 1 0
D/F#	2 0 0 2 3 2
D/A	- 0 0 2 3 2
D/Bb	- 1 0 2 3 2
D/B	- 2 0 2 3 2
D/C	- 3 0 2 3 2
E/B	- 2 2 1 0 0
E/C#	- 4 2 1 0 0
E/D	- - 0 1 0 0
E/D#	- - 1 1 0 0
E/F	- - 3 1 0 0
E/F#	2 2 2 1 0 0
E/G	3 2 2 1 0 0
E/G#	4 2 2 1 0 0
Em/B	- 2 2 0 0 0
Em/C#	- 4 2 0 0 0
Em/D	- - 0 0 0 0
Em/D#	- - 1 0 0 0
Em/F	- - 3 0 0 0
Em/F#	- - 4 0 0 0
Em/G	3 2 2 0 0 0
Em/G#	4 2 2 0 0 0
F/C	- 3 3 2 1 1
F/D	- - 0 2 1 1
F/D#	- - 1 2 1 1
F/E	- - 2 2 1 1
F/G	3 0 3 2 1 1
F/A	- 0 3 2 1 1
Fm/C	8 8 10 10 9 8
G/B	7 10 9 7 8 7
G/D	- - 0 4 3 3
G/E	0 2 0 0 0 3
G/F	1 2 0 0 0 3
G/F#	2 2 0 0 0 3
A/C#	- 4 2 2 2 0
A/E	0 0 2 2 2 0
A/F	1 0 2 2 2 0
A/F#	2 0 2 2 2 0
A/G	3 0 2 2 2 0
A/G#	4 0 2 2 2 0
Am/C	- 3 2 2 1 0
Am/E	0 0 2 2 1 0
Am/F	1 0 2 2 1 0
Am/F#	3 0 3 3 2 0
Am/G	3 0 2 2 1 0
Am/G#	4 0 2 2 1 0
Bm/A	- 0 4 4 3 2
