C	- 3 2 0 1 0
Cmaj7	8 - 9 9 8 -
Cmaj9	8 7 9 7 8 7
Cmaj11	- 3 2 4 1 1
Cmaj13	8 7 7 7 9 7
Cmaj9#11	8 7 9 7 7 7
Cmaj13#11	8 7 7 7 7 7
C6	0 0 2 0 1 0
Cadd9	8 7 5 7 5 -
C6add9	8 7 7 7 8 8
Cmaj7b5	8 - 9 9 7 -
Cmaj7#5	8 - 9 9 9 -
Cm	- 3 1 0 1 3
Cm7	8 10 8 8 8 8
Cm9	8 - 8 8 8 10
Cm11	8 - 8 8 6 -
Cm13	8 10 8 8 10 10
Cm6	8 - 7 8 8 -
Cmadd9	- 3 1 0 3 -
Cm6add9	- 3 1 2 3 -
Cmmaj7	8 10 9 8 8 8
Cmmaj9	8 10 9 8 8 10
Cm7b5	8 - 8 8 7 -
Cm7#5	8 - 8 8 9 -
C7	- 3 2 3 1 0
C9	8 7 8 7 8 -
C11	8 - 8 7 6 -
C13	8 - 8 9 10 -
C7sus4	8 10 8 10 8 8
C7b5	8 - 8 9 7 -
C7#5	8 - 8 9 9 -
C7b9	8 10 8 9 8 9
C7#9	8 10 8 9 11 11
C7(b5,b9)	8 - 8 6 7 -
C7(b5,#9)	- 3 2 3 4 2
C7(#5,b9)	8 - 8 9 9 9
C7(#5,#9)	- 3 2 3 4 4
C9b5	8 7 8 7 7 -
C9#5	8 - 8 9 9 10
C13#11	8 9 8 9 10 10
C13b9	8 - 8 9 10 9
C11b9	8 - 8 6 6 -
Caug	- 3 2 1 1 0
Cdim	8 9 10 8 - - 
Cdim7	8 - 7 8 7 -
C5	8 10 - - - -
Csus4	8 10 10 10 8 8
Csus2	- 3 5 5 3 3
Csus2sus4	8 8 10 10 8 10
C-5	- 3 4 5 5 -
